timestamp,ip,req_per_IP_5min,error_ratio_per_IP,unique_UA_per_IP,size,Label
2019-01-22 04:31:03,66.249.66.194,149.0,0.0,3.0,42358,0
2019-01-22 04:31:04,192.15.247.191,8.0,0.0,1.0,4120,0
2019-01-22 04:31:04,192.15.247.191,9.0,0.0,1.0,5815,0
2019-01-22 04:31:04,192.15.247.191,10.0,0.0,1.0,5094,0
2019-01-22 04:31:05,172.20.2.174,9.0,0.0,1.0,4,0
2019-01-22 04:31:05,192.15.247.191,11.0,0.0,1.0,4480,0
2019-01-22 04:31:05,192.15.247.191,12.0,0.0,1.0,4335,0
2019-01-22 04:31:06,141.0.12.173,1.0,0.0,1.0,7155,0
2019-01-22 04:31:06,141.0.12.173,2.0,0.0,1.0,5166,0
2019-01-22 04:31:07,66.249.66.194,149.0,0.0,3.0,0,0
2019-01-22 04:31:07,40.77.167.170,60.0,0.0,2.0,38505,0
2019-01-22 04:31:08,40.77.167.170,61.0,0.0,2.0,178,0
2019-01-22 04:31:08,192.15.247.191,13.0,0.0,1.0,133,0
2019-01-22 04:31:09,40.77.167.170,61.0,0.0,2.0,12773,0
2019-01-22 04:31:09,40.77.167.170,62.0,0.0,2.0,71084,0
2019-01-22 04:31:09,66.249.66.194,146.0,0.0,3.0,19947,0
2019-01-22 04:31:09,66.249.66.91,106.0,0.0,2.0,41159,0
2019-01-22 04:31:09,207.46.13.136,34.0,0.0,1.0,134544,0
2019-01-22 04:31:10,5.127.215.170,1.0,0.0,1.0,3545,0
2019-01-22 04:31:11,192.15.247.191,14.0,0.0,1.0,6112,0
2019-01-22 04:31:11,192.15.247.191,15.0,0.0,1.0,68613,0
2019-01-22 04:31:11,192.15.247.191,16.0,0.0,1.0,4993,0
2019-01-22 04:31:11,192.15.247.191,17.0,0.0,1.0,11085,0
2019-01-22 04:31:11,192.15.247.191,18.0,0.0,1.0,2136,0
2019-01-22 04:31:11,192.15.247.191,19.0,0.0,1.0,11124,0
2019-01-22 04:31:11,207.46.13.136,34.0,0.0,1.0,95546,0
2019-01-22 04:31:11,192.15.247.191,20.0,0.0,1.0,2780,0
2019-01-22 04:31:11,192.15.247.191,21.0,0.0,1.0,2416,0
2019-01-22 04:31:12,66.249.66.194,146.0,0.0,3.0,0,0
2019-01-22 04:31:12,207.46.13.136,35.0,0.0,1.0,37146,0
2019-01-22 04:31:12,66.249.66.194,147.0,0.0,3.0,33686,0
2019-01-22 04:31:12,66.249.66.91,107.0,0.0,2.0,40907,0
2019-01-22 04:31:13,54.36.148.253,1.0,0.0,1.0,32637,0
2019-01-22 04:31:13,89.199.165.30,2.0,0.0,1.0,15631,0
2019-01-22 04:31:13,40.77.167.170,63.0,0.0,2.0,37628,0
2019-01-22 04:31:13,40.77.167.170,64.0,0.0,2.0,37032,0
2019-01-22 04:31:14,207.46.13.136,36.0,0.0,1.0,37390,0
2019-01-22 04:31:15,207.46.13.136,37.0,0.0,1.0,38562,0
2019-01-22 04:31:15,66.249.66.194,147.0,0.0,3.0,20862,0
2019-01-22 04:31:16,192.15.247.191,22.0,0.0,1.0,3348,0
2019-01-22 04:31:16,192.15.247.191,23.0,0.0,1.0,2376,0
2019-01-22 04:31:16,192.15.247.191,24.0,0.0,1.0,2946,0
2019-01-22 04:31:16,192.15.247.191,25.0,0.0,1.0,19469,0
2019-01-22 04:31:17,66.249.66.194,147.0,0.0,3.0,18465,0
2019-01-22 04:31:17,66.249.66.91,105.0,0.0,2.0,42283,0
2019-01-22 04:31:17,66.249.66.194,148.0,0.0,3.0,21817,0
2019-01-22 04:31:18,40.77.167.170,65.0,0.0,2.0,37350,0
2019-01-22 04:31:18,66.249.66.194,148.0,0.0,3.0,6386,0
2019-01-22 04:31:19,207.46.13.136,38.0,0.0,1.0,37134,0
2019-01-22 04:31:19,207.46.13.136,39.0,0.0,1.0,37922,0
2019-01-22 04:31:19,40.77.167.170,66.0,0.0,2.0,37545,0
2019-01-22 04:31:19,54.36.148.222,1.0,0.0,1.0,34157,0
2019-01-22 04:31:20,66.249.66.91,106.0,0.0,2.0,37020,0
2019-01-22 04:31:20,17.58.102.43,13.0,0.0,1.0,0,0
2019-01-22 04:31:21,66.249.66.194,149.0,0.0,3.0,0,0
2019-01-22 04:31:22,66.249.66.194,150.0,0.0,3.0,32359,0
2019-01-22 04:31:22,66.249.66.91,107.0,0.0,2.0,41355,0
2019-01-22 04:31:22,66.249.66.194,151.0,0.0,3.0,0,0
2019-01-22 04:31:22,192.15.247.191,26.0,0.0,1.0,4120,0
2019-01-22 04:31:23,66.249.66.194,151.0,0.0,3.0,33655,0
2019-01-22 04:31:23,17.58.102.43,14.0,0.0,1.0,38051,0
2019-01-22 04:31:23,34.247.132.53,5.0,0.0,1.0,30731,0
2019-01-22 04:31:25,157.55.39.245,7.0,0.0,1.0,41864,0
2019-01-22 04:31:25,207.46.13.136,40.0,0.0,1.0,0,0
2019-01-22 04:31:25,54.36.148.126,1.0,0.0,1.0,21398,0
2019-01-22 04:31:26,66.249.66.91,108.0,0.0,2.0,41406,0
2019-01-22 04:31:26,54.36.148.18,1.0,0.0,1.0,32695,0
2019-01-22 04:31:26,54.36.149.42,1.0,0.0,1.0,31576,0
2019-01-22 04:31:26,192.15.247.191,27.0,0.0,1.0,0,0
2019-01-22 04:31:26,17.58.102.43,15.0,0.0,1.0,38627,0
2019-01-22 04:31:27,192.15.247.191,28.0,0.0,1.0,4574,0
2019-01-22 04:31:27,192.15.247.191,29.0,0.0,1.0,6777,0
2019-01-22 04:31:27,66.249.66.91,108.0,0.0,2.0,41430,0
2019-01-22 04:31:28,207.46.13.136,41.0,0.0,1.0,37412,0
2019-01-22 04:31:28,66.249.66.91,109.0,0.0,2.0,41177,0
2019-01-22 04:31:29,66.249.66.194,151.0,0.0,3.0,26662,0
2019-01-22 04:31:29,40.77.167.170,64.0,0.0,2.0,37054,0
2019-01-22 04:31:30,54.36.148.249,1.0,0.0,1.0,33403,0
2019-01-22 04:31:31,207.46.13.136,41.0,0.0,1.0,38819,0
2019-01-22 04:31:31,157.55.39.245,7.0,0.0,1.0,23046,0
2019-01-22 04:31:33,192.15.247.191,30.0,0.0,1.0,6164,0
2019-01-22 04:31:33,192.15.247.191,31.0,0.0,1.0,4220,0
2019-01-22 04:31:33,192.15.247.191,32.0,0.0,1.0,4725,0
2019-01-22 04:31:33,5.123.158.147,1.0,0.0,1.0,3975,0
2019-01-22 04:31:33,192.15.247.191,33.0,0.0,1.0,4213,0
2019-01-22 04:31:34,17.58.102.43,16.0,0.0,1.0,0,0
2019-01-22 04:31:35,51.15.15.54,9.0,0.0,1.0,20360,0
2019-01-22 04:31:35,66.249.66.194,151.0,0.0,3.0,26720,0
2019-01-22 04:31:36,172.80.205.91,1.0,0.0,1.0,133,0
2019-01-22 04:31:36,66.249.66.91,106.0,0.0,2.0,41486,0
2019-01-22 04:31:36,54.36.149.91,1.0,0.0,1.0,42496,0
2019-01-22 04:31:38,66.249.66.91,107.0,0.0,2.0,2818,0
2019-01-22 04:31:38,66.249.66.91,108.0,0.0,2.0,42133,0
2019-01-22 04:31:38,17.58.102.43,17.0,0.0,1.0,38061,0
2019-01-22 04:31:38,54.36.149.95,1.0,0.0,1.0,32660,0
2019-01-22 04:31:38,66.249.66.91,109.0,0.0,2.0,40552,0
2019-01-22 04:31:38,66.249.66.91,110.0,0.0,2.0,41031,0
2019-01-22 04:31:39,66.249.66.91,109.0,0.0,2.0,6013,0
2019-01-22 04:31:39,172.20.2.174,9.0,0.0,1.0,4,0
2019-01-22 04:31:41,17.58.102.43,18.0,0.0,1.0,37224,0
2019-01-22 04:31:41,66.249.66.91,110.0,0.0,2.0,40919,0
2019-01-22 04:31:41,37.156.61.40,1.0,0.0,1.0,19227,0
